CNPJ BÁSICO;NOME FANTASIA;CNAE FISCAL PRINCIPAL;EMDERECO COMPLETO;ID
37104934;ENGE+ ENGENHARIA;8211300;TIBURCIO CAVALCANTI ,1425 - ALDEOTA ,FORTALEZA - CE;137
37638056;MARTINS FILHOS ADVOCACIA;8211300;SANTOS DUMONT ,2626 - ALDEOTA ,FORTALEZA - CE;138
38026114;CONFIGES;8211300;FRANCISCO SEGUNDO DA COSTA ,107 - EDSON QUEIROZ ,FORTALEZA - CE;139
38056163;ALEGRARE;8211300;ANTONIO DE CASTRO ,779 - CIDADE DOS FUNCIONARIOS ,FORTALEZA - CE;140
38651853;BRASIL SAUDE;8211300;PADRE ANTONINO ,495 - JOAQUIM TAVORA ,FORTALEZA - CE;141
39285232;LIDER SERVICE;8211300;BARAO DE STUDART ,1165 - ALDEOTA ,FORTALEZA - CE;142
39441172;HEVCON EMPRESARIAL;8211300;ABELARDO MARINHO ,151 - VILA UNIAO ,FORTALEZA - CE;143
39539008;SOU MAIS CLUBE DE VANTAGENS;8211300;MARIA JULIA ,596 - BOM JARDIM ,FORTALEZA - CE;144
32312734;ABIST & TECHSOLIS;8211300;JOSE MATIAS DOS SANTOS ,291 - PREFEITO JOSE WALTER ,FORTALEZA - CE;145
39665123;ANDRADE SERVICOS EM SAUDE;8211300;TOMAS ACIOLI ,1493 - DIONISIO TORRES ,FORTALEZA - CE;146
39797221;EVOLUCAO EMPRESARIAL;8211300;DEPUTADO JOAQUIM DE FIGUEIREDO CORREIA ,195 - CAMBEBA ,FORTALEZA - CE;147
39826091;JM COWORKING;8211300;87 (CONJ. RESID. PREF. JOSE WALTER) ,680 - PREFEITO JOSE WALTER ,FORTALEZA - CE;148
40178304;Y2 COWORKING;8211300;MARTINS DE JESUS ,1450 - PARQUE MANIBURA ,FORTALEZA - CE;149
40191763;PAULO LUCIANO SERVICOS CLINICOS;8211300;521 (CONJ. CEARA II) ,102 - CONJUNTO CEARA II ,FORTALEZA - CE;150
40291147;CLINICA MEDICA DRA IZABEL DONATO;8211300;VIENA WEYNE ,955 - CAMBEBA ,FORTALEZA - CE;151
40374317;G1 CONSTRUTORA;8211300;WASHINGTON SOARES ,1400 - ENGENHEIRO LUCIANO CAVALCANTE ,FORTALEZA - CE;152
40376199;FAG SERVICOS EM SAUDE;8211300;1032 (CONJ. CEARA II) ,126 - CONJUNTO CEARA II ,FORTALEZA - CE;153
40447867;M.C. VIANA;8211300;1 (CONJ. RESID. PEQUENO MONDUBIM) ,65 - MONDUBIM ,FORTALEZA - CE;154
40606187;A C CONSULTORIA;8211300;87 (CONJ. RESID. PREF. JOSE WALTER) ,680 - PREFEITO JOSE WALTER ,FORTALEZA - CE;155
40810044;TRIGALL BUFFET;8211300;VIENA WEYNE ,70 - CAMBEBA ,FORTALEZA - CE;156
40829067;ESPACO SOMAMOS;8211300;MAESTRO LISBOA ,1020 - JOSE DE ALENCAR ,FORTALEZA - CE;157
40836357;ERX ASSESSORIA E GESTAO;8211300;DESEMBARGADOR MOREIRA ,650 - MEIRELES ,FORTALEZA - CE;158
40383847;GABRIEL PASSOS FERREIRA DE MELO;8211300;ENGENHEIRO HUMBERTO MONTE ,2929 - PICI ,FORTALEZA - CE;159
26483311;RLA TREINAMENTOS;8211300;WASHINGTON SOARES ,55 - EDSON QUEIROZ ,FORTALEZA - CE;160
40956073;IRION SERVICES;8211300;DOS COQUEIROS ,508 - EDSON QUEIROZ ,FORTALEZA - CE;161
40971997;MENTORE BPO;8211300;DESEMBARGADOR MOREIRA ,1300 - ALDEOTA ,FORTALEZA - CE;162
41002849;L & E SERVICOS;8211300;DEPUTADO CASTELO DE CASTRO ,2661 - CONJUNTO PALMEIRAS ,FORTALEZA - CE;163
41304631;PAULO MAIA SERVICOS;8211300;OSCAR FRANCA ,1427 - BOM JARDIM ,FORTALEZA - CE;164
41324436;SAKAE ONLINE BUSINESS;8211300;25 DE MARCO ,357 - CENTRO ,FORTALEZA - CE;165
34770502;ASSESSORIA ESPORTIVA MARQUINHOS CAPIVARA;8211300;JOAQUIM VIANA BARBOSA ,59 - CIDADE DOS FUNCIONARIOS ,FORTALEZA - CE;166
41504058;OPEN BOX SERVICOS DE ESCRITORIOS E APOIO ADMINISTRATIVO;8211300;BENJAMIM BRASIL ,430 - MONDUBIM ,FORTALEZA - CE;167
41605648;ALAN ROBSON - NUTRICAO FUNCIONAL E PERFORMANCE;8211300;CORONEL LUIZ DAVID DE SOUZA ,72 - PRESIDENTE KENNEDY ,FORTALEZA - CE;168
41638580;LFG CONSULTORIA E GESTAO;8211300;ZUCA ACCIOLY ,1001 - MANUEL DIAS BRANCO ,FORTALEZA - CE;169
41900555;DSG REPRESENTACOES;8211300;IZABEL SIDNEY ,50 - TAUAPE ,FORTALEZA - CE;170
41232002;DN ENGENHARIA;8211300;JOAO CORDEIRO ,3069 - JOAQUIM TAVORA ,FORTALEZA - CE;171
31121303;S ARARIPE;8211300;DOM LUIS ,300 - ALDEOTA ,FORTALEZA - CE;172
42078716;VB SAUDE;8211300;SENADOR POMPEU ,834 - CENTRO ,FORTALEZA - CE;173
42343697;WORK-CO;8211300;PERBOYRE E SILVA ,111 - CENTRO ,FORTALEZA - CE;174
42379918;ONDA WORK;8211300;SENADOR POMPEU ,834 - CENTRO ,FORTALEZA - CE;175
42478964;BRASIL SOLUTION;8211300;ANTENOR ROCHA ALEXANDRE ,101 - PARQUE MANIBURA ,FORTALEZA - CE;176
42545684;T P DE AZEVEDO ASSESSORIA & CONSULTORIA;8211300;PEDRO BORGES ,33 - CENTRO ,FORTALEZA - CE;177
42560183;ENP-ASSESSORIA GOVERNAMENTAL;8211300;ARY BARROSO ,70 - PAPICU ,FORTALEZA - CE;178
42895040;HOLANDA EMPREENDIMENTOS E ENGENHERIA;8211300;FRANCISCO GLICERIO ,290 - MARAPONGA ,FORTALEZA - CE;179
42931319;R4 PUBLICIDADE;8211300;WASHINGTON SOARES ,4835 - JOSE DE ALENCAR ,FORTALEZA - CE;180
42935172;FREITAS SERVICOS;8211300;GAMA (PASSARE) ,5 - PASSARE ,FORTALEZA - CE;181
42953365;MGS - GESTAO NA SAUDE;8211300;CORONEL LUIZ DAVID DE SOUZA ,105 - PRESIDENTE KENNEDY ,FORTALEZA - CE;182
43376080;LOCARPLAY;8211300;DESEMBARGADOR EURICO MONTEIRO ,997 - JARDIM DAS OLIVEIRAS ,FORTALEZA - CE;183
41641246;NEW IN TOWN;8211300;SANTOS DUMONT ,2789 - ALDEOTA ,FORTALEZA - CE;184
43547806;GIRO MARINE LOGISTICA;8211300;WASHINGTON SOARES ,3663 - EDSON QUEIROZ ,FORTALEZA - CE;185
43559967;MHM TECH;8211300;25 DE MARCO ,357 - CENTRO ,FORTALEZA - CE;186
43603234;DOM SANTANA;8211300;THEODORICO BARROSO ,843 - MONTESE ,FORTALEZA - CE;187
43625405;OSACON;8211300;PINTO MADEIRA ,1500 - ALDEOTA ,FORTALEZA - CE;188
43709758;CENTER OFFICE VIRTUAL;8211300;FELINO BARROSO ,1001 - FATIMA ,FORTALEZA - CE;189
43794474;BARROS SERVICOS;8211300;WASHINGTON SOARES ,55 - EDSON QUEIROZ ,FORTALEZA - CE;190
27190141;DEDE SERVICOS;8211300;DOUTOR SILAS MUNGUBA ,3198 - ITAPERI ,FORTALEZA - CE;191
39563356;IN SPACE;8211300;GODOFREDO MACIEL ,2290 - MARAPONGA ,FORTALEZA - CE;192
31161308;AREIA ENERGY;8211300;PINTO MADEIRA ,535 - CENTRO ,FORTALEZA - CE;193
31525211;APFLEX HIDRAULICA;8211300;GODOFREDO MACIEL ,3374 - MARAPONGA ,FORTALEZA - CE;194
38334054;SAMLUC SOLAR;8211300;WASHINGTON SOARES - ATE 3737 - LADO IMPAR ,909 - EDSON QUEIROZ ,FORTALEZA - CE;195
43748760;PARENTE E CUNHA SERVICOS ADMINISTRATIVOS;8211300;DESEMBARGADOR MOREIRA ,760 - MEIRELES ,FORTALEZA - CE;196
42321084;ARRAES DE OLIVEIRA ENDERECOS FISCAIS;8211300;DESEMBARGADOR MOREIRA ,2020 - ALDEOTA ,FORTALEZA - CE;197
42545047;F7 GESTAO E NEGOCIOS;8211300;GUILHERME ROCHA ,253 - CENTRO ,FORTALEZA - CE;198
43903440;SINDICO FACILITIES;8211300;CORONEL NUNES DE MELO ,302 - RODOLFO TEOFILO ,FORTALEZA - CE;199
44056986;COOPERMAXXI;8211300;OLIVEIRA PAIVA ,1206 - CIDADE DOS FUNCIONARIOS ,FORTALEZA - CE;200
44266935;FERREIRA SAUDE;8211300;SENADOR POMPEU ,834 - CENTRO ,FORTALEZA - CE;201
44325724;RX INCORPORACOES;8211300;JOAQUIM VIANA BARBOSA ,59 - CIDADE DOS FUNCIONARIOS ,FORTALEZA - CE;202
44403868;CONEX TRANSPORTE DE VEICULOS;8211300;DOUTOR SILAS MUNGUBA ,5003 - PASSARE ,FORTALEZA - CE;203
44670431;PG COWORKING;8211300;DESEMBARGADOR MOREIRA ,2020 - ALDEOTA ,FORTALEZA - CE;204
44732749;MARQUES SERVICOS;8211300;ALAN KARDEC ,580 - MONTESE ,FORTALEZA - CE;205
44824041;ALL SERVICOS;8211300;ANTONELE BEZERRA ,316 - MEIRELES ,FORTALEZA - CE;206
44855788;DRA LARISSA BANDEIRA;8211300;SENADOR POMPEU ,834 - CENTRO ,FORTALEZA - CE;207
44922321;HC SERVICOS;8211300;TENENTE MARCOS LIRA ,1096 - SERRINHA ,FORTALEZA - CE;208
45058717;PRACIANO TRANSPORTES;8211300;VICENTE LINHARES ,500 - ALDEOTA ,FORTALEZA - CE;209
