CNPJ BÁSICO;NOME FANTASIA;CNAE FISCAL PRINCIPAL;EMDERECO COMPLETO;ID
23883158;VOCACAO DE JESUS;9491000;PEDRO PEREIRA ,1506 - CENTRO ,FORTALEZA - CE;10402
52370645;ADVTUCH;9491000;134 DO LOTEAMENTO CONJUNTO TUPAN MIRIM ,110 - PARQUE DOIS IRMAOS ,FORTALEZA - CE;10425
10578680;MOSTEIRO DE SAO BENTO DE FORTALEZA;9491000;CEL LUIS FIDELIS ,939 - MESSEJANA ,FORTALEZA - CE;10433
3031203;I P C V;9491000;3 CORACOES ,87 - BOM JARDIM ,FORTALEZA - CE;10435
1546483;IGREJA BIBLICA;9491000;A ,1177 - CONJ VENEZA TROPICAL ,FORTALEZA - CE;10436
7822384;IPNVCC;9491000;IPANEMA ,30 - PQ SANTA ROSA ,FORTALEZA - CE;10440
4201556;IGREJA METODISTA EM CONJUNTO PALMEIRAS;9491000;MAIZA ,922 - JANGURUSSU ,FORTALEZA - CE;10442
5321872;CASA DE FORTALEZA;9491000;SANTA ROSA ,579 - TIROL ,FORTALEZA - CE;10445
284832;I E P;9491000;OLIGARIO MEMORIA ,33 - AGUA FRIA ,FORTALEZA - CE;10447
9077464;COMUNIDADE CRISTA REOBOTE DE MESSEJANA;9491000;MANOEL CASTELO BRANCO ,355 - MESSEJANA ,FORTALEZA - CE;10451
9187917;IADFS;9491000;III LOT PLAN MONDUBIM ,489 - MONDUBIM ,FORTALEZA - CE;10452
10306700;IGREJA BATISA;9491000;JACANAU ,86 - SIQUEIRA II ,FORTALEZA - CE;10453
11228069;IGREJA CRISTO E VIDA;9491000;EDSON SEVERINO ,11 - LAGOA REDONDA ,FORTALEZA - CE;10456
11498898;IGREJA ASSEMBLEIA DE DEUS FUNDAMENTO DA VERDADE;9491000;MAJOR ASSIS ,3370 - VILA VELHA IV ,FORTALEZA - CE;10457
14351651;IREJA EVANGELICA MINISTERIO DE RESTAURACAO LIBERTANDO;9491000;PEDRO MIGUEL ,87 - VICENTE PINZOM ,FORTALEZA - CE;10461
17744803;IPADCNF;9491000;SAO FRANCISCO ,561 - CONJ. ESPERANCA III ,FORTALEZA - CE;10468
19017873;ABA PAI;9491000;PRESIDENTE CASTELO BRANCO ,4337 - COLONIA ,FORTALEZA - CE;10473
19398285;CASA ESPIRITA DR. ADOLFH FRITZ;9491000;IRMAO OLIMPIO ,60 - JANGURUSSU ,FORTALEZA - CE;10475
23484472;IGREJA EVANGELICA NOSSA ESPERANCA;9491000;V CJ PLANALTO MONDUBIM ,423A - MONDUBIM ,FORTALEZA - CE;10479
23378732;IGREJA MISSIONARIO CRISTO PARA AS NACOES;9491000;204 CJ SAO CRISTOVAO ,430 - JANGURUSSU ,FORTALEZA - CE;10485
